[2024-06-22 16:29:33.202651] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:20:48.859469+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.205224] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:20:47.857918+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.207002] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:20:46.856258+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.208975] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:20:45.854618+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.211346] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:20:44.853037+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.215382] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:20:43.851377+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.217341] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:20:42.849796+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.219407] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:20:41.848244+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.221785] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:20:40.846669+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.223659] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:20:39.844886+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.256730] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:28:39.894040+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.259188] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:28:38.892320+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

[2024-06-22 16:29:33.261384] <10.177.186.5> generate : {'dest_ip': '10.177.186.9', 'timestamp': '2024-06-22T13:28:37.890815+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.5', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '1', 'action': 'allowed', 'severity': '3', 'signature': 'TE-AM PRINS CU PINGUL', 'category': 'Not Suspicious Traffic'}}

[2024-06-22 16:29:33.264991] <10.177.186.5> generate : {'dest_ip': '10.177.186.5', 'timestamp': '2024-06-22T13:28:37.890787+0000', 'dest_port': '0', 'src_port': '0', 'src_ip': '10.177.186.9', 'proto': 'ICMP', 'event_type': 'alert', 'alert': {'signature_id': '2100366', 'action': 'allowed', 'severity': '3', 'signature': 'GPL ICMP_INFO PING *NIX', 'category': 'Misc activity'}}

